Model,R2,RMSE,MAE
RandomForest,-0.7115034592352794,0.45193347944397205,0.35524627976190665
XGBoost,-1.222759699917634,0.5150292347303107,0.4103670001029968
SVR,-0.3752577731680191,0.4051143982447031,0.3273145800442036
